NO,TYPE,DEFINE1,DEFINE2
425,GPA32GT5120_A,,
426,GPA34GT5120_A,,
427,GPA36GT5120_A,,
428,GPA40GT5120_A,,
429,GPA44GT5120_A,,
430,GPA48GT5120_A,,
431,GPA50GT5120_A,,
432,GPA60GT5120_A,,
433,GPA14GT5150_A,,
434,GPA15GT5150_A,,
435,GPA16GT5150_A,,
436,GPA18GT5150_A,,
437,GPA20GT5150_A,,
438,GPA22GT5150_A,,
439,GPA24GT5150_A,,
440,GPA25GT5150_A,,
441,GPA26GT5150_A,,
442,GPA28GT5150_A,,
443,GPA30GT5150_A,,
444,GPA32GT5150_A,,
445,GPA34GT5150_A,,
446,GPA36GT5150_A,,
447,GPA40GT5150_A,,
448,GPA44GT5150_A,,
449,GPA48GT5150_A,,
450,GPA50GT5150_A,,
451,GPA60GT5150_A,,
452,GPA14GT5090_B,,
453,GPA15GT5090_B,,
454,GPA16GT5090_B,,
455,GPA18GT5090_B,,
456,GPA20GT5090_B,,
457,GPA22GT5090_B,,
458,GPA24GT5090_B,,
459,GPA25GT5090_B,,
460,GPA26GT5090_B,,
461,GPA28GT5090_B,,
462,GPA30GT5090_B,,
463,GPA32GT5090_B,,
464,GPA34GT5090_B,,
465,GPA36GT5090_B,,
466,GPA40GT5090_B,,
467,GPA44GT5090_B,,
468,GPA48GT5090_B,,
469,GPA50GT5090_B,,
470,GPA60GT5090_B,,
471,GPA14GT5120_B,,
472,GPA15GT5120_B,,
473,GPA16GT5120_B,,
474,GPA18GT5120_B,,
475,GPA20GT5120_B,,
476,GPA22GT5120_B,,
477,GPA24GT5120_B,,
478,GPA25GT5120_B,,
479,GPA26GT5120_B,,
480,GPA28GT5120_B,,
481,GPA30GT5120_B,,
482,GPA32GT5120_B,,
483,GPA34GT5120_B,,
484,GPA36GT5120_B,,
485,GPA40GT5120_B,,
486,GPA44GT5120_B,,
487,GPA48GT5120_B,,
488,GPA50GT5120_B,,
489,GPA60GT5120_B,,
490,GPA14GT5150_B,,
491,GPA15GT5150_B,,
492,GPA16GT5150_B,,
493,GPA18GT5150_B,,
494,GPA20GT5150_B,,
495,GPA22GT5150_B,,
496,GPA24GT5150_B,,
497,GPA25GT5150_B,,
498,GPA26GT5150_B,,
499,GPA28GT5150_B,,
500,GPA30GT5150_B,,
501,GPA32GT5150_B,,
502,GPA34GT5150_B,,
503,GPA36GT5150_B,,
504,GPA40GT5150_B,,
505,GPA44GT5150_B,,
506,GPA48GT5150_B,,
507,GPA50GT5150_B,,
508,GPA60GT5150_B,,
509,GPT14GT5090_A,,
510,GPT15GT5090_A,,
511,GPT16GT5090_A,,
512,GPT18GT5090_A,,
513,GPT20GT5090_A,,
514,GPT22GT5090_A,,
515,GPT24GT5090_A,,
516,GPT25GT5090_A,,
517,GPT26GT5090_A,,
518,GPT28GT5090_A,,
519,GPT30GT5090_A,,
520,GPT32GT5090_A,,
521,GPT34GT5090_A,,
522,GPT36GT5090_A,,
523,GPT40GT5090_A,,
524,GPT44GT5090_A,,
525,GPT48GT5090_A,,
526,GPT50GT5090_A,,
527,GPT60GT5090_A,,
528,GPT14GT5120_A,,
529,GPT15GT5120_A,,
530,GPT16GT5120_A,,
531,GPT18GT5120_A,,
532,GPT20GT5120_A,,
533,GPT22GT5120_A,,
534,GPT24GT5120_A,,
535,GPT25GT5120_A,,
536,GPT26GT5120_A,,
537,GPT28GT5120_A,,
538,GPT30GT5120_A,,
539,GPT32GT5120_A,,
540,GPT34GT5120_A,,
541,GPT36GT5120_A,,
542,GPT40GT5120_A,,
543,GPT44GT5120_A,,
544,GPT48GT5120_A,,
545,GPT50GT5120_A,,
546,GPT60GT5120_A,,
547,GPT14GT5150_A,,
548,GPT15GT5150_A,,
549,GPT16GT5150_A,,
550,GPT18GT5150_A,,
551,GPT20GT5150_A,,
552,GPT22GT5150_A,,
553,GPT24GT5150_A,,
554,GPT25GT5150_A,,
555,GPT26GT5150_A,,
556,GPT28GT5150_A,,
557,GPT30GT5150_A,,
558,GPT32GT5150_A,,
559,GPT34GT5150_A,,
560,GPT36GT5150_A,,
561,GPT40GT5150_A,,
562,GPT44GT5150_A,,
563,GPT48GT5150_A,,
564,GPT50GT5150_A,,
565,GPT60GT5150_A,,
566,GPT14GT5090_B,,
567,GPT15GT5090_B,,
568,GPT16GT5090_B,,
569,GPT18GT5090_B,,
570,GPT20GT5090_B,,
571,GPT22GT5090_B,,
572,GPT24GT5090_B,,
573,GPT25GT5090_B,,
574,GPT26GT5090_B,,
575,GPT28GT5090_B,,
576,GPT30GT5090_B,,
577,GPT32GT5090_B,,
578,GPT34GT5090_B,,
579,GPT36GT5090_B,,
580,GPT40GT5090_B,,
581,GPT44GT5090_B,,
582,GPT48GT5090_B,,
583,GPT50GT5090_B,,
584,GPT60GT5090_B,,
585,GPT14GT5120_B,,
586,GPT15GT5120_B,,
587,GPT16GT5120_B,,
588,GPT18GT5120_B,,
589,GPT20GT5120_B,,
590,GPT22GT5120_B,,
591,GPT24GT5120_B,,
592,GPT25GT5120_B,,
593,GPT26GT5120_B,,
594,GPT28GT5120_B,,
595,GPT30GT5120_B,,
596,GPT32GT5120_B,,
597,GPT34GT5120_B,,
598,GPT36GT5120_B,,
599,GPT40GT5120_B,,
600,GPT44GT5120_B,,
601,GPT48GT5120_B,,
602,GPT50GT5120_B,,
603,GPT60GT5120_B,,
604,GPT14GT5150_B,,
605,GPT15GT5150_B,,
606,GPT16GT5150_B,,
607,GPT18GT5150_B,,
608,GPT20GT5150_B,,
609,GPT22GT5150_B,,
610,GPT24GT5150_B,,
611,GPT25GT5150_B,,
612,GPT26GT5150_B,,
613,GPT28GT5150_B,,
614,GPT30GT5150_B,,
615,GPT32GT5150_B,,
616,GPT34GT5150_B,,
617,GPT36GT5150_B,,
618,GPT40GT5150_B,,
619,GPT44GT5150_B,,
620,GPT48GT5150_B,,
621,GPT50GT5150_B,,
622,GPT60GT5150_B,,
623,GPM14GT5090_A,,
624,GPM15GT5090_A,,
625,GPM16GT5090_A,,
626,GPM18GT5090_A,,
627,GPM20GT5090_A,,
628,GPM22GT5090_A,,
629,GPM24GT5090_A,,
630,GPM25GT5090_A,,
631,GPM26GT5090_A,,
632,GPM28GT5090_A,,
633,GPM30GT5090_A,,
634,GPM32GT5090_A,,
635,GPM34GT5090_A,,
636,GPM36GT5090_A,,
637,GPM40GT5090_A,,
638,GPM44GT5090_A,,
639,GPM48GT5090_A,,
640,GPM50GT5090_A,,
641,GPM60GT5090_A,,
642,GPM14GT5120_A,,
643,GPM15GT5120_A,,
644,GPM16GT5120_A,,
645,GPM18GT5120_A,,
646,GPM20GT5120_A,,
647,GPM22GT5120_A,,
648,GPM24GT5120_A,,
649,GPM25GT5120_A,,
650,GPM26GT5120_A,,
651,GPM28GT5120_A,,
652,GPM30GT5120_A,,
653,GPM32GT5120_A,,
654,GPM34GT5120_A,,
655,GPM36GT5120_A,,
656,GPM40GT5120_A,,
657,GPM44GT5120_A,,
658,GPM48GT5120_A,,
659,GPM50GT5120_A,,
660,GPM60GT5120_A,,
661,GPM14GT5150_A,,
662,GPM15GT5150_A,,
663,GPM16GT5150_A,,
664,GPM18GT5150_A,,
665,GPM20GT5150_A,,
666,GPM22GT5150_A,,
667,GPM24GT5150_A,,
668,GPM25GT5150_A,,
669,GPM26GT5150_A,,
670,GPM28GT5150_A,,
671,GPM30GT5150_A,,
672,GPM32GT5150_A,,
673,GPM34GT5150_A,,
674,GPM36GT5150_A,,
675,GPM40GT5150_A,,
676,GPM44GT5150_A,,
677,GPM48GT5150_A,,
678,GPM50GT5150_A,,
679,GPM60GT5150_A,,
680,GPM14GT5090_B,,
681,GPM15GT5090_B,,
682,GPM16GT5090_B,,
683,GPM18GT5090_B,,
684,GPM20GT5090_B,,
685,GPM22GT5090_B,,
686,GPM24GT5090_B,,
687,GPM25GT5090_B,,
688,GPM26GT5090_B,,
689,GPM28GT5090_B,,
690,GPM30GT5090_B,,
691,GPM32GT5090_B,,
692,GPM34GT5090_B,,
693,GPM36GT5090_B,,
694,GPM40GT5090_B,,
695,GPM44GT5090_B,,
696,GPM48GT5090_B,,
697,GPM50GT5090_B,,
698,GPM60GT5090_B,,
699,GPM14GT5120_B,,
700,GPM15GT5120_B,,
701,GPM16GT5120_B,,
702,GPM18GT5120_B,,
703,GPM20GT5120_B,,
704,GPM22GT5120_B,,
705,GPM24GT5120_B,,
706,GPM25GT5120_B,,
707,GPM26GT5120_B,,
708,GPM28GT5120_B,,
709,GPM30GT5120_B,,
710,GPM32GT5120_B,,
711,GPM34GT5120_B,,
712,GPM36GT5120_B,,
713,GPM40GT5120_B,,
714,GPM44GT5120_B,,
715,GPM48GT5120_B,,
716,GPM50GT5120_B,,
717,GPM60GT5120_B,,
718,GPM14GT5150_B,,
719,GPM15GT5150_B,,
720,GPM16GT5150_B,,
721,GPM18GT5150_B,,
722,GPM20GT5150_B,,
723,GPM22GT5150_B,,
724,GPM24GT5150_B,,
725,GPM25GT5150_B,,
726,GPM26GT5150_B,,
727,GPM28GT5150_B,,
728,GPM30GT5150_B,,
729,GPM32GT5150_B,,
730,GPM34GT5150_B,,
731,GPM36GT5150_B,,
732,GPM40GT5150_B,,
733,GPM44GT5150_B,,
734,GPM48GT5150_B,,
735,GPM50GT5150_B,,
736,GPM60GT5150_B,,
737,GPA20YU8150_A,,
738,GPA22YU8150_A,,
739,GPA24YU8150_A,,
740,GPA25YU8150_A,,
741,GPA26YU8150_A,,
742,GPA28YU8150_A,,
743,GPA30YU8150_A,,
744,GPA32YU8150_A,,
745,GPA34YU8150_A,,
746,GPA36YU8150_A,,
747,GPA38YU8150_A,,
748,GPA40YU8150_A,,
749,GPA44YU8150_A,,
750,GPA48YU8150_A,,
751,GPA50YU8150_A,,
752,GPA60YU8150_A,,
753,GPA20YU8200_A,,
754,GPA22YU8200_A,,
755,GPA24YU8200_A,,
756,GPA25YU8200_A,,
757,GPA26YU8200_A,,
758,GPA28YU8200_A,,
759,GPA30YU8200_A,,
760,GPA32YU8200_A,,
761,GPA34YU8200_A,,
762,GPA36YU8200_A,,
763,GPA38YU8200_A,,
764,GPA40YU8200_A,,
765,GPA44YU8200_A,,
766,GPA48YU8200_A,,
767,GPA50YU8200_A,,
768,GPA60YU8200_A,,
769,GPA20YU8250_A,,
770,GPA22YU8250_A,,
771,GPA24YU8250_A,,
772,GPA25YU8250_A,,
773,GPA26YU8250_A,,
774,GPA28YU8250_A,,
775,GPA30YU8250_A,,
776,GPA32YU8250_A,,
777,GPA34YU8250_A,,
778,GPA36YU8250_A,,
